close,date
81.84,2013-07-30
81.67,2013-07-31
82.36,2013-08-01
81.92,2013-08-02
81.84,2013-08-05
81.62,2013-08-06
81.27,2013-08-07
81.02,2013-08-08
81.12,2013-08-09
81.45,2013-08-12
81.77,2013-08-13
81.71,2013-08-14
81.14,2013-08-15
81.29,2013-08-16
81.27,2013-08-19
80.94,2013-08-20
81.32,2013-08-21
81.49,2013-08-22
81.36,2013-08-23
81.39,2013-08-26
81.14,2013-08-27
81.43,2013-08-28
81.97,2013-08-29
82.04,2013-08-30
82.24,2013-09-02
82.39,2013-09-03
82.18,2013-09-04
82.64,2013-09-05
82.15,2013-09-06
81.83,2013-09-09
81.83,2013-09-10
81.51,2013-09-11
81.51,2013-09-12
81.52,2013-09-13
81.27,2013-09-16
81.14,2013-09-17
80.23,2013-09-18
80.46,2013-09-23
80.59,2013-09-24
80.34,2013-09-25
80.54,2013-09-26
80.27,2013-09-27
80.23,2013-09-30
80.01,2013-10-08
80.37,2013-10-09
80.48,2013-10-10
80.42,2013-10-11
80.34,2013-10-14
80.44,2013-10-15
80.46,2013-10-16
79.66,2013-10-17
79.61,2013-10-18
79.7,2013-10-21
79.26,2013-10-22
79.28,2013-10-23
79.19,2013-10-24
79.21,2013-10-25
79.33,2013-10-28
79.62,2013-10-29
79.7,2013-10-30
80.23,2013-10-31
80.72,2013-11-01
80.57,2013-11-04
80.7,2013-11-05
80.51,2013-11-06
80.83,2013-11-07
81.22,2013-11-08
81.09,2013-11-11
81.15,2013-11-12
80.78,2013-11-13
80.99,2013-11-14
80.81,2013-11-15
80.73,2013-11-18
80.66,2013-11-19
81.0,2013-11-20
80.98,2013-11-21
80.66,2013-11-22
80.91,2013-11-25
80.62,2013-11-26
80.7,2013-11-27
80.55,2013-11-28
80.62,2013-11-29
80.9,2013-12-02
80.64,2013-12-03
80.61,2013-12-04
80.29,2013-12-05
80.26,2013-12-06
80.13,2013-12-09
79.98,2013-12-10
79.88,2013-12-11
80.18,2013-12-12
80.19,2013-12-13
80.09,2013-12-16
80.05,2013-12-17
80.51,2013-12-18
80.6,2013-12-19
80.55,2013-12-20
80.43,2013-12-23
80.52,2013-12-24
80.53,2013-12-25
80.5,2013-12-26
80.33,2013-12-27
80.04,2013-12-30
80.2,2013-12-31
80.57,2014-01-02
80.87,2014-01-03
80.68,2014-01-06
80.85,2014-01-07
81.07,2014-01-08
80.94,2014-01-09
80.63,2014-01-10
80.53,2014-01-13
80.64,2014-01-14
80.99,2014-01-15
80.91,2014-01-16
81.19,2014-01-17
81.11,2014-01-20
81.08,2014-01-21
81.2,2014-01-22
80.44,2014-01-23
80.47,2014-01-24
80.48,2014-01-27
80.57,2014-01-28
80.53,2014-01-29
81.05,2014-01-30
80.67,2014-02-07
80.65,2014-02-10
80.63,2014-02-11
80.69,2014-02-12
80.3,2014-02-13
80.15,2014-02-14
80.13,2014-02-17
80.01,2014-02-18
80.19,2014-02-19
80.28,2014-02-20
80.27,2014-02-21
80.22,2014-02-24
80.14,2014-02-25
80.41,2014-02-26
80.28,2014-02-27
79.78,2014-02-28
80.07,2014-03-03
80.13,2014-03-04
80.09,2014-03-05
79.67,2014-03-06
79.71,2014-03-07
79.74,2014-03-10
79.79,2014-03-11
79.62,2014-03-12
79.58,2014-03-13
79.41,2014-03-14
79.4,2014-03-17
79.37,2014-03-18
80.05,2014-03-19
80.19,2014-03-20
80.13,2014-03-21
79.94,2014-03-24
80.03,2014-03-25
80.02,2014-03-26
80.15,2014-03-27
80.19,2014-03-28
80.11,2014-03-31
80.08,2014-04-01
80.23,2014-04-02
80.46,2014-04-03
80.44,2014-04-04
79.78,2014-04-08
79.52,2014-04-09
79.41,2014-04-10
79.49,2014-04-11
79.76,2014-04-14
79.79,2014-04-15
79.82,2014-04-16
79.85,2014-04-17
79.88,2014-04-18
79.95,2014-04-21
79.9,2014-04-22
79.87,2014-04-23
79.79,2014-04-24
79.76,2014-04-25
79.71,2014-04-28
79.81,2014-04-29
79.53,2014-04-30
79.51,2014-05-05
79.15,2014-05-06
79.23,2014-05-07
79.45,2014-05-08
79.87,2014-05-09
79.89,2014-05-12
80.12,2014-05-13
80.06,2014-05-14
80.03,2014-05-15
80.06,2014-05-16
80.03,2014-05-19
80.05,2014-05-20
80.08,2014-05-21
80.22,2014-05-22
80.38,2014-05-23
80.29,2014-05-26
80.37,2014-05-27
80.56,2014-05-28
80.49,2014-05-29
80.39,2014-05-30
80.54,2014-06-03
80.66,2014-06-04
80.35,2014-06-05
80.43,2014-06-06
80.63,2014-06-09
80.81,2014-06-10
80.77,2014-06-11
80.59,2014-06-12
80.61,2014-06-13
80.44,2014-06-16
80.61,2014-06-17
80.4,2014-06-18
80.33,2014-06-19
80.34,2014-06-20
80.27,2014-06-23
80.32,2014-06-24
80.21,2014-06-25
80.21,2014-06-26
80.02,2014-06-27
79.79,2014-06-30
79.82,2014-07-01
79.95,2014-07-02
80.21,2014-07-03
80.28,2014-07-04
80.21,2014-07-07
80.18,2014-07-08
80.09,2014-07-09
80.12,2014-07-10
80.19,2014-07-11
80.17,2014-07-14
80.38,2014-07-15
80.54,2014-07-16
80.51,2014-07-17
80.54,2014-07-18
80.56,2014-07-21
80.78,2014-07-22
80.8,2014-07-23
80.87,2014-07-24
81.05,2014-07-25
81.0,2014-07-28
81.21,2014-07-29
81.42,2014-07-30
81.46,2014-07-31
81.31,2014-08-01
81.32,2014-08-04
81.54,2014-08-05
81.42,2014-08-06
81.53,2014-08-07
81.4,2014-08-08
81.46,2014-08-11
81.51,2014-08-12
81.61,2014-08-13
81.6,2014-08-14
81.43,2014-08-15
81.58,2014-08-18
81.89,2014-08-19
82.25,2014-08-20
82.16,2014-08-21
82.33,2014-08-22
82.58,2014-08-25
82.67,2014-08-26
82.46,2014-08-27
82.49,2014-08-28
82.72,2014-08-29
82.78,2014-09-01
82.97,2014-09-02
82.86,2014-09-03
83.84,2014-09-04
83.76,2014-09-05
84.14,2014-09-09
84.23,2014-09-10
84.24,2014-09-11
84.16,2014-09-12
84.24,2014-09-15
84.08,2014-09-16
84.75,2014-09-17
84.27,2014-09-18
84.79,2014-09-19
84.71,2014-09-22
84.7,2014-09-23
85.07,2014-09-24
85.2,2014-09-25
85.64,2014-09-26
85.62,2014-09-29
85.91,2014-09-30
85.3,2014-10-08
85.54,2014-10-09
85.81,2014-10-10
85.21,2014-10-13
85.81,2014-10-14
84.92,2014-10-15
84.95,2014-10-16
85.2,2014-10-17
85.03,2014-10-20
85.4,2014-10-21
85.77,2014-10-22
85.88,2014-10-23
85.72,2014-10-24
85.59,2014-10-27
85.41,2014-10-28
85.99,2014-10-29
86.12,2014-10-30
86.92,2014-10-31
87.39,2014-11-03
87.05,2014-11-04
87.41,2014-11-05
88.09,2014-11-06
87.59,2014-11-07
87.81,2014-11-10
87.59,2014-11-11
87.8,2014-11-12
87.75,2014-11-13
87.55,2014-11-14
87.95,2014-11-17
87.58,2014-11-18
87.62,2014-11-19
87.68,2014-11-20
88.29,2014-11-21
88.1,2014-11-24
87.91,2014-11-25
87.67,2014-11-26
87.95,2014-11-27
88.24,2014-11-28
88.01,2014-12-01
88.64,2014-12-02
88.95,2014-12-03
88.65,2014-12-04
89.35,2014-12-05
89.11,2014-12-08
88.73,2014-12-09
88.21,2014-12-10
88.46,2014-12-11
88.33,2014-12-12
88.48,2014-12-15
87.91,2014-12-16
88.22,2014-12-17
89.21,2014-12-18
89.59,2014-12-19
89.72,2014-12-22
90.08,2014-12-23
89.91,2014-12-24
89.81,2014-12-25
90.03,2014-12-26
90.19,2014-12-29
89.97,2014-12-30
90.27,2014-12-31
91.42,2015-01-05
91.61,2015-01-06
91.9892,2015-01-07
92.2916,2015-01-08
91.9444,2015-01-09
92.03,2015-01-12
92.28,2015-01-13
92.0981,2015-01-14
92.0813,2015-01-15
92.69,2015-01-16
92.56,2015-01-19
93.03,2015-01-20
92.77,2015-01-21
94.1813,2015-01-22
95.011,2015-01-23
94.952,2015-01-26
94.0169,2015-01-27
94.6236,2015-01-28
94.7276,2015-01-29
94.8737,2015-01-30
94.59,2015-02-02
93.63,2015-02-03
94.42,2015-02-04
93.54,2015-02-05
94.69,2015-02-06
94.5716,2015-02-09
94.7304,2015-02-10
94.8317,2015-02-11
94.1922,2015-02-12
94.1781,2015-02-13
94.3524,2015-02-16
94.0935,2015-02-17
94.4,2015-02-25
95.2796,2015-02-26
95.25,2015-02-27
95.47,2015-03-02
95.41,2015-03-03
95.9405,2015-03-04
96.3528,2015-03-05
97.7051,2015-03-06
97.6496,2015-03-09
98.7554,2015-03-10
99.7229,2015-03-11
99.2242,2015-03-12
100.1485,2015-03-13
99.6996,2015-03-16
99.6036,2015-03-17
97.8016,2015-03-18
99.1017,2015-03-19
97.8557,2015-03-20
97.0081,2015-03-23
97.2054,2015-03-24
96.874,2015-03-25
97.4193,2015-03-26
97.358,2015-03-27
97.976,2015-03-30
98.4117,2015-03-31
98.1771,2015-04-01
97.5097,2015-04-02
96.8164,2015-04-03
97.9562,2015-04-07
98.0676,2015-04-08
98.9915,2015-04-09
99.386,2015-04-10
99.513,2015-04-13
98.7565,2015-04-14
98.3698,2015-04-15
97.6466,2015-04-16
97.4538,2015-04-17
97.9102,2015-04-20
97.9716,2015-04-21
98.0628,2015-04-22
